Name,Short_Description,Long_Description,Founded,Membership_Fee,Members,Keywords
"Manga Makers Club","Draw and share manga stories","Learn manga-style character design, panels, and visual storytelling through guided activities, peer feedback, and sharing respectful, age-appropriate creations.",2016,15,42,"manga;drawing;comics;storytelling;art;creative"
"Lego Builders Guild","Build big ideas with LEGO","Weekly themed builds (bridges, cities, habitats) with teamwork challenges, tidy-up routines, and safe construction guidelines for shared bricks.",2012,10,85,"lego;stem;engineering;build;teamwork;creativity"
"Minecraft Creative Club","Design worlds responsibly","Students design collaborative worlds focusing on creativity, problem-solving, and respectful online/offline behavior with teacher-approved content only.",2015,12,110,"minecraft;creative;design;collaboration;digital-citizenship"
"Anime Appreciation (Kids)","Explore anime art and culture","Focus on art styles, music, and storytelling techniques using curated, age-appropriate clips and discussions about themes like friendship and courage.",2018,10,58,"anime;art-style;story;culture;friendship;media-literacy"
"Origami & Paper Arts","Fold, craft, and decorate","Create origami models and paper crafts for celebrations and service projects, practising patience, precision, and safe tool use.",2011,8,37,"origami;paper-craft;fine-motor;mindfulness;design"
"Gemstone & Geology Club","Rocks, minerals, and crystals","Learn geology basics, identify minerals safely, and create display cards while discussing respect for nature and scientific inquiry.",2010,12,29,"geology;minerals;science;collection;nature;classification"
"Chess & Strategy Club","Think ahead and play fair","Develop strategic thinking through chess lessons, puzzles, mini-tournaments, and sportsmanship reflections.",2009,5,64,"chess;strategy;logic;problem-solving;tournament;fair-play"
"Coding for Kids","Create games and apps","Build simple programs with block coding and beginner Python concepts, focusing on creativity, debugging, and responsible technology use.",2019,20,76,"coding;programming;games;debugging;stem;digital"
"Robotics Rookies","Build robots safely","Explore beginner robotics with supervised kits, teamwork roles, and safe handling routines for motors, tools, and batteries.",2020,25,33,"robotics;stem;engineering;kits;teamwork;safety"
"Creative Writing Circle","Stories, poems, and scripts","Write and share short pieces in a supportive environment with mini-lessons on character, dialogue, and respectful feedback.",2013,5,48,"writing;stories;poetry;language;creativity;feedback"
"Drama & Skits Club","Perform short, positive skits","Practise performance skills through short skits, improvisation, and staged readings with family-friendly themes and values.",2008,10,54,"drama;performance;confidence;teamwork;presentation"
"Choir Minis","Sing together joyfully","Sing contemporary and traditional songs suitable for school events, learning harmony, breathing, and performance etiquette.",2005,0,72,"choir;singing;music;harmony;performance;community"
"Ukulele Beginners","Strum simple songs","Learn basic chords, rhythm patterns, and ensemble playing using school-friendly songs and steady practice routines.",2014,18,31,"ukulele;music;chords;rhythm;ensemble;practice"
"Art Studio Club","Paint, draw, and create","Explore multiple mediums (pencil, watercolour, collage) with guided projects, safe materials, and gallery-style sharing.",2007,12,67,"art;painting;drawing;creative;gallery;skills"
"Photography Basics","Capture moments responsibly","Learn composition and lighting with clear rules around privacy, consent, and respectful photography at school events only.",2021,15,22,"photography;composition;light;privacy;media;creative"
"Gardening & Growers","Plant and care for gardens","Grow herbs and flowers, learn composting basics, and support school beautification projects with safe tools and routines.",2006,5,40,"gardening;plants;compost;outdoors;service;environment"
"Eco Helpers","Care for creation projects","Lead litter-free lunches, recycling education, and simple sustainability initiatives connected to stewardship and community service.",2017,0,95,"sustainability;recycling;service;stewardship;environment"
"Board Games Club","Social games and good sportsmanship","Play teacher-approved board games that develop cooperation, maths, and communication, with fair play and inclusive group norms.",2011,5,120,"boardgames;social;strategy;maths;inclusion;fun"
"Puzzle & Brain Teasers","Train your brain","Weekly logic puzzles, riddles, escape-room-style challenges (non-scary), and teamwork problem-solving.",2018,5,46,"puzzles;logic;brain;teamwork;challenge;thinking"
"Debate Starters","Speak clearly and kindly","Learn basic debating, persuasive speaking, and respectful listening using age-appropriate topics and structured turn-taking.",2016,8,28,"debating;speaking;listening;confidence;respect;communication"
"Public Speaking Club","Present with confidence","Practise short talks, show-and-tell, and storytelling with supportive coaching on voice, posture, and clear structure.",2010,6,55,"speaking;confidence;presentation;voice;leadership"
"Craft & Clay Corner","Make crafts and small sculptures","Create simple clay and craft projects with safe materials, tidy work habits, and optional gifts for charity drives.",2012,10,44,"crafts;clay;hands-on;creativity;fine-motor;design"
"STEM Challenge Crew","Weekly STEM mini-challenges","Build towers, test paper planes, design catapults (safe), and learn scientific thinking through fun, guided challenges.",2015,10,88,"stem;science;engineering;challenges;build;experiment"
"Math Games League","Make maths fun","Play maths-based games and puzzles that strengthen number sense, patterns, and problem-solving in teams.",2009,0,60,"maths;games;patterns;problem-solving;number-sense"
"Science Explorers","Safe experiments and discovery","Do hands-on science activities using safe household materials, lab safety routines, and explanation writing for learning journals.",2013,12,52,"science;experiments;safety;discovery;journals;stem"
"History Detectives","Investigate the past","Use maps, artifacts (replicas), and stories to explore history with critical questions and respectful discussion.",2014,5,26,"history;inquiry;maps;research;discussion;critical-thinking"
"Geography & Maps","Explore places and cultures","Learn mapping skills, flags, landforms, and cultural appreciation through games and respectful presentations.",2011,4,21,"geography;maps;cultures;landforms;learning;travel"
"Language & Culture Club","Learn words from around the world","Try beginner phrases in multiple languages and celebrate cultures through games, music, and respectful curiosity.",2019,5,35,"languages;culture;global;respect;communication;fun"